char,fq
非同小可,3
面目模糊,6
頂檔,2
順氣,3
預訂,4
頓感,1
頭顱,1
顱,1
風力,10
風勢,1
風土人情,2
風水師,2
風浪,11
風涼水冷,3
風潮,5
風靡,2
飄逸,2
食波餅,1
食物鏈,2
食玻璃大,2
食評,3
食豬,4
食雞,7
飲湯,10
飽暖,2
餅家,1
養老,2
養育,5
餐牌,16
餘波,1
香蕉,22
香雞,2
馬匹,1
馬鐵,4
騎師,2
騙徒,2
騷動,5
騾,6
騾仔,3
骷髏骨,5
高估,3
高妹,2
高薪厚祿,2
高談闊論,7
高踞,3
髮腳,4
鬆化,3
鬥波,2
鬼唔知,3
鬼國,7
鬼才,5
鬼打,2
鬼打鬼,2
鬼故,7
魁梧,3
魔法陣,5
鮮味,2
鳴金收兵,4
鴉雀無聲,4
鶯,4
鹹菜,3
麻包袋,7
黐牙,3
黑吃黑,1
黑名單,2
黑眼圈,2
默劇,2
默書,23
黨員,8
鼎盛,2
鼻敏感,2
齙,2
龍捲風,3
QC,2
cool,2
pH值,1
soci,13
一件頭,2
一哄而上,1
一哄而散,1
一時口快,2
一波三折,2
一笑置之,5
一網打盡,3
一走了之,4
三號風球,1
上漲,2
上畫,5
上莊,11
上訴庭,1
下凡,3
下功夫,1
下注,1
下筆,3
下腳,4
下風,6
不勝其煩,4
不單只,4
不拘小節,2
不溜,1
不甘示弱,5
不見不散,5
不見天日,1
不辭而別,5
世外高人,2
中國籍,5
中規中矩,2
串埋,1
主見,2
久經,2
乘勝追擊,3
乸型,1
乾塘,3
了卻,2
了得,6
互通,3
五臟,3
五臟六腑,2
些微,3
亞差,2
亡靈,1
交界,3
交白卷,1
交錯,4
人微言輕,1
人材,5
人頭湧湧,6
仆倒,3
仇人,4
付托,2
代勞,2
代碼,2
休學,4
伺候,1
低迷,3
作動,2
作壁上觀,2
作大,7
作實,1
作畫,3
便意,1
便當,5
便裝,2
信口雌黃,1
信用狀,1
信貸,2
倒戈相向,1
倘若,5
候任,2
借力,3
偃旗息鼓,2
假髮,3
偎,3
做世界,3
做東,1
側身,4
側門,1
偷師,2
偷襲,11
偽毒,2
傳話,2
傷重,2
傻瓜,4
傾掂,4
先人,3
先例,2
光圈,4
光天化日,2
光源,2
光滑,3
免死金牌,4
兜搭,4
入圍,2
入土,2
入會,3
入秋,6
入貨,12
內出血,2
全盛,1
全盛時期,1
全軍覆沒,4
公尺,2
公理,2
六角形,2
兵役,3
典禮,5
冒進,1
冥鏹,1
冬菇,3
冰冷,8
冰島,2
冷鋒,3
凌厲,5
凱旋,2
出兵,2
出城,2
出恭,1
出息,4
出生地,3
刀槍不入,1
切記,4
划,4
初哥,2
判決,5
利爪,3
削胃,1
前仆後繼,2
前列腺,2
剛強,3
剛毅,2
劈炮,3
劍術,1
力排眾議,3
助教,4
勁旅,1
勉勉強強,4
動亂,5
勸戒,2
勻稱,5
包機,1
化整為零,2
化為烏有,3
化糞池,1
北極熊,6
北緯,3
千夫所指,2
千軍萬馬,2
千錘百鍊,1
卓越,1
南區,2
印花稅,4
危言聳聽,2
即影即有,3
即興,3
厚此薄彼,2
去世,6
去職,3
參政,1
參考書,3
又係嘅,4
又點話,5
反敗為勝,7
反話,3
反過來,3
反響,1
受溝,2
受累,1
口風,10
古往今來,1
叫醒,6
召見,2
可大可小,2
台柱,1
叱喝,3
吃飯,14
合計,1
吉爾吉斯,2
吉祥物,2
吐司,1
呼風喚雨,2
命水,2
和事老,2
和平共處,1
和藹可親,5
咔嚓,5
咪表,3
品學兼優,2
單單打打,3
喱士,2
嘍囉,16
噩耗,2
嚴懲,1
囝,11
回水,7
困倦,1
國債,2
土耳其,4
地堂,3
地皮,4
坐墊,1
垂涎,2
垃圾站,2
城郭,1
堅壁清野,1
堅定流,1
墓地,1
墨斗,2
壓倒性,1
士的,7
夏至,3
外幣,2
外籍,17
多產,1
夜場,7
夜長夢多,4
夜鬼,4
大大話話,11
大小二便,4
大平賣,1
大打出手,2
大汗,11
大法官,2
大熊貓,2
大牛,14
大白鯊,35
大粒,4
大義滅親,6
大肚婆,14
大興土木,2
大蝦細,3
大衣,2
大鄉里,2
大雪,9
大頭鬼,1
大鱷,1
天星碼頭,4
天生麗質,3
天網恢恢,2
夫唱婦隨,1
奇趣,4
奉若神明,1
奧匈帝國,1
奴性,2
好搵,19
好耳,2
好言相勸,5
如數家珍,4
妖怪,5
妹釘,14
姓氏,5
姨婆,2
威風凜凜,2
娓娓道來,4
媽咪麵,2
存款,1
孤軍作戰,2
學徒,6
安人,1
安心上路,2
官司,4
官場,4
宵夜,6
寒窗苦讀,1
實權,2
寶號,2
封筆,1
射住,4
射燈,6
專長,5
對岸,8
對質,1
對陣,6
小家碧玉,1
小小事,4
小花,1
小道消息,2
少林,4
就職,1
屏障,5
屏風,3
展品,1
展覽館,3
山川,1
工作天,4
左派,6
巨浪,2
巴黎鐵塔,1
師公,2
師爺,2
席間,3
常任,3
常規,1
平均值,1
平定,1
年報,6
幸運兒,2
幻影,3
幾條街,5
底橫,2
底盤,2
店長,10
廢寢忘食,2
弊傢伙,2
引人注目,2
弱肉強食,3
強壯,1
強心針,1
強攻,2
強暴,2
強身健體,3
彈開,6
彌留,2
影展,3
往昔,2
得一想二,2
得心應手,4
微型,1
微言,2
徹夜,4
心平氣和,3
快餐店,6
急住,5
性向,5
怪誕,3
怯懦,1
恆心,5
恨不得,3
恩賜,2
悠悠,6
悠然自得,4
悠長,2
患難之交,2
悶悶不樂,9
情份,2
情勢,1
情竇初開,5
惡耗,1
惦,1
惦記,1
想念,3
愁雲慘霧,4
意猶未盡,6
愛錫,3
慎重,1
慘無人道,3
慢活,2
慰勞,1
憔,7
憔悴,7
懶蟲,3
戀棧,2
戰功,1
戰鬥格,3
手多,3
手感,3
手指指,4
手無寸鐵,5
手袖,2
打999,6
打九九九,2
打巢,2
打碟,2
托派,1
扣人心弦,2
扮鬼扮馬,1
抱薪救火,2
抽稅,2
拆家,12
拆彈,10
拆掂,2
拉丁舞,4
拉弓,2
拖時間,2
招搖,1
招股,1
拱門,2
拳王,2
拿手好戲,2
持之以恒,3
指壓,1
指日可待,2
指甲油,2
捌,18
捱打,4
排洪,1
排長,3
排長龍,2
探囊取物,2
探測,2
接龍,4
掩耳盜鈴,2
揉,8
握權,1
揼春,2
揼波鐘,2
損兵折將,1
搣柴,1
搭幾,3
摘名,2
撈味,2
撐腰,3
撤走,4
擁吻,5
擔子,2
擺明車馬,1
攝時間,2
支那,1
支長,2
收山,2
收復,3
收爐,3
收視率,1
改過自新,1
政府工,2
政績,3
故宮,6
故技重施,3
敗訴,2
教育電視,3
散手,2
敲門磚,4
整古,3
整古做怪,3
整整下,2
新婚,8
斷層,1
旋風,7
日產,1
早市,1
早餐會,1
昂貴,3
明年,3
明豔照人,1
易容,2
易話為,3
時務,3
時鐘酒店,3
晒相,5
晴朗,3
智勇雙全,1
曲到圓,1
曲直難分,1
會錯意,2
會頭,4
有前有後,2
有始有終,4
有寶,2
有幾何,2
有頭有面,4
服毒,2
望子成龍,2
期油,1
未知之數,1
李白,3
束手就擒,6
杰,19
東莞,14
果醬,2
校巴,17
格言,2
栽培,2
條氣唔順,4
梢,1
椰青,1
樞紐,1
樹幹,3
橋手,4
機艙,2
橫流,1
檢點,3
歐元,1
歡迎詞,2
正晒,1
歸西,2
死唔斷氣,4
死好過,3
死妹釘,14
死敵,2
死而無憾,6
殃及,2
殃及池魚,2
殘廁,2
殺人如麻,1
殺氣,9
殺起,2
毅力,7
毆鬥,2
每況愈下,1
毒癮,5
氣功,3
氣壓,4
氣數,1
氣數已盡,1
氣窗,2
氣象學,2
水晶,13
水鞋,1
決絕,2
沖水,3
河蟹,1
河豚,2
法術,7
波板糖,2
注明,1
洋樓,2
流口水,4
海味,7
海洋公園,7
海盜,6
海馬,8
淺笑,7
清廉,3
清瘦,2
渾身解數,2
湯渣,2
溶化,5
滋長,3
滑潺潺,3
滯留,1
漏口,6
漏口風,2
潮童,2
澤國,1
激氣,4
濕潤,4
火場,2
火把,8
炒家,1
炮台,2
炮台山,2
焚燒,3
無所適從,5
無良,5
煙斗,3
煙雨,2
熊市,2
熊貓,2
熟讀,4
熟食,1
熟食檔,1
熱痱,2
燈死,2
燒香,2
爆冷,1
爆廠,2
爆拆,1
爆缸,4
爆血管,7
爛仔交,2
爛賭,7
爛身爛勢,2
父幹,2
爽甜,2
爽脆,2
版主,2
牙齒,6
牛熊證,1
特使,1
狙擊手,1
狡詐,2
狼吞虎嚥,2
猜情尋,1
猝死,8
獨來獨往,4
獲悉,1
玩下手,1
玩唔起,2
玩膠,2
現任,10
理事,2
環抱,4
環迴,1
甜心,1
甲醛,1
男女老幼,4
畢業禮,3
畫師,3
畫風,2
疑團,2
疲憊,5
病人衫,3
癲佬,7
癲狂,2
登報,5
登機,2
白字,3
白金,3
百上加斤,1
百分百,5
皂,5
的士高,2
皇天擊殺,2
皮褸,3
盜賊,2
監考,2
監誓,1
目不識丁,1
盲搶,1
直達,2
相勸,5
相對濕度,1
相得益彰,1
相會,3
真相大白,3
眼影,3
眼淺,2
眼簾,3
眼耳口鼻,13
睇得開,5
睇火,5
矯揉造作,2
碌地,1
碰壁,2
碰見,2
祂,4
祖母,6
祖父,5
祝酒,3
神技,2
神曲,4
神諭,6
神通廣大,6
神髓,2
祿山之爪,3
禁地,3
禍根,1
福蔭,1
科研,3
秘訣,3
秦始皇,11
稅務,2
稅務局,2
稅單,1
稚嫩,3
空心,1
空曠,8
空翻,1
窮盡,3
立竿見影,1
立體聲,1
站頭,4
童星,3
竹林,4
竹枝,3
笑納,2
笨實,2
笨手笨腳,3
等閒之輩,2
筋骨,11
答辯,3
節氣,1
米線,18
粉麵,7
粗壯,3
糖衣毒藥,1
糧票,1
紅外線,2
紋身,3
紐西蘭,1
紙錢,3
素昧平生,2
紫微斗數,1
紮根,2
細路女,11
終審法院,7
結餘,8
絕妙,3
絕活,1
綁死,1
經手,2
綠卡,1
綻放,2
緯,4
縫製,1
縱然,7
總公司,11
繁重,1
繩索,6
罩門,2
置若罔聞,4
罷就,3
美談,2
習武,2
翻騰,4
耀目,3
老人政治,1
老婆仔,6
老臣子,1
老邁,3
老銅,2
聲演,1
肉緊,7
肉色,3
肚痛,10
股份,6
肥沃,1
肥皂,4
肥皂劇,3
肥頭耷耳,2
胃酸,2
背包,2
胡裡胡塗,2
脫穎而出,1
腐蝕,5
腰骨,7
腳法,3
膠通,1
臣子,1
臨陣,2
自求多福,1
至親,5
與世長辭,2
興高采烈,13
舞弊,1
舞獅,4
舞麒麟,1
舞龍,2
良辰美景,2
花女,1
花款,6
苦瓜乾,2
英雌,3
茶水,9
茶水間,6
草蜢,11
草食,2
萬象,2
落疊,5
落西,6
落閘放狗,2
著草,3
葬禮,2
葬身,5
蒙在鼓裡,3
蒙羞,2
蒸餾,2
蒸餾水,2
蔚藍,2
蔥花,1
蕙,9
薄扶林,4
薄霧,1
藏匿,1
藝能,1
藥石無靈,1
虧損,2
蚊飯,1
蛇蟲鼠蟻,1
蛙泳,1
蜚,1
蜜糖,2
蜢,11
蝦人,3
蠻力,2
血海深仇,1
行動不便,2
行得通,10
表表者,3
衰佬,4
補血,7
裝設,1
襟計,2
西裝友,2
要不然,1
覆滅,2
見狀,7
規勸,2
親家,2
親朋戚友,3
角逐,2
解毒,6
言之無物,4
訂定,3
記起,16
評審,3
評選,1
詩情畫意,2
誓言,3
說謊,4
調停,2
調理農務,1
謎團,3
謝禮,2
識時務,3
議長,2
豔遇,2
豪邁,4
豪雨,1
負數,2
責備,2
買手,7
貼文,5
賣甩,2
賤民,2
賭鬼,2
賴死,4
賴貓,2
賽馬,5
賽馬會,1
走光,2
起兵,1
起眼,8
超時,3
趟門,2
路試,1
路邊社,2
跳高,3
踩高蹺,1
身旁,4
車位,1
載譽歸來,1
輋,1
輕聲,19
輕薄,6
轉生,3
辦公時間,7
農民,2
農田,3
迅即,2
迎賓,1
追截,2
追星,1
退庭,1
送上門,4
透爐,1
逐出,2
通晒天,1
逢迎,1
連身裙,9
遊說,6
運動場,14
過敏,2
過日辰,2
過獎,3
違抗,2
遠足,1
遣散,2
避險,1
邪門,2
部屬,1
鄉里,3
鄙夷,3
酒保,3
酒粒,2
酣,4
酥,5
酸溜溜,3
醉人,2
醉生夢死,1
重九,1
重手,4
重蹈覆轍,2
重陽節,4
金牛,5
金絲貓,3
銳利,6
鋁窗,6
鋪張,1
錄取,2
鏹,1
鐳,2
鐳射,2
鐵塔,1
鐵娘子,1
鑑定,2
長沙,5
長沙灣,5
閉氣,2
開細,2
閘機,8
關聯,7
阻攔,2
阿剌伯,1
阿四,3
陀螺,1
陣勢,2
除笨有精,5
陰騭,1
隆冬,1
隊草,7
險詐,3
隱世,4
隱隱約約,4
集郵,3
雌,7
雌黃,1
雕塑,6
雜交,2
雜費,2
雞子,3
難纏,4
雪中送炭,2
電光石火,2
電動車,1
電競,1
震盪,4
霧霾,2
青山醫院,2
非份之想,7
面不改色,3
面紅紅,7
面紅耳赤,1
面紗,1
頂端,4
頒布,1
領帶,7
頭痕,2
風光大葬,1
飄飄然,3
食到盡,1
食塵,1
食糧,1
食草,3
食軟飯,1
養子,1
餐會,1
餘震,4
首推,2
香消玉殞,1
馬經,5
馬里,2
駱驛不絕,1
騙案,2
驚心動魄,2
骨灰龕,4
體面,4
高峯,1
髮尾,3
鬆手,6
鬈,7
魚苗,2
魚雷,2
鮑魚,11
鳥獸,4
鴨脷洲,2
麵餅,7
點石成金,1
鼓起泡腮,2
龜裂,2
CLS,1
UV,1
lag,5
menu,2
㧬,1
㨂,1
一個二個,15
一嚿飯,2
一讀,3
丁屎,3
三劃,1
三劃王,1
三姑六婆,4
三幅被,3
上官,4
上蓋,2
下列,1
丐,2
中止,5
中階,3
串字,10
主軸,3
丼,1
乜嘢話,3
九龍塘,5
九龍灣,2
乞求,1
事蹟,4
仁至義盡,2
他表,1
任用,7
仿效,3
企位,1
企定定,5
估歌仔,1
伴奏,4
佈滿,4
作息,3
作準,2
佣金,2
係噉嘅,4
保本,1
信用咭,4
俳句,2
倒米,2
借鏡,1
做七,2
做樣,2
傷心小棧,1
傾閒偈,2
儒艮,1
元宵,2
先至得,1
兩截色,2
公益金,8
公職人員,2
冇朋友,5
冊封,2
冚唪唥,6
冷飯,2
凸字,3
出便,2
刀叉,4
初級,6
刮目相看,3
前門,2
劈價,1
勞師動眾,1
包艇,1
包起,1
北斗,3
北面,6
十卜,1
千言萬語,1
升學,7
半桶水,3
南蘇丹,1
南音,15
卵巢,1
原子筆,4
反肚,2
口感,3
口疏,2
口賤,2
古裝,5
古風,1
合併,7
同袍,5
吖嗱,2
君臣,1
吧枱,2
吽逗,1
咁耐以嚟,7
和牛,2
和製漢語,1
和音,2
咫,2
咫尺,2
唔啱傾,1
唔怪之,32
唔怪之得,30
唔拘,4
唔等使,2
唱功,4
唱和,2
唷,3
唸口簧,2
啤令,1
啱嘴形,1
單詞,3
單身狗,3
嘈生晒,3
噉樣樣,2
噉解,9
嚟唔切,3
嚴禁,2
囈契弟,1
四聲,10
圍城,9
在學,2
地下水,2
地埗,5
地母,1
墊屍底,2
墟冚,1
墨丸,3
士多房,2
士多貢,1
外來語,4
大假,5
大圈,3
大懵,1
大檸樂,5
大相徑庭,1
大肚黃,2
大頭針,1
天花龍鳳,2
失守,4
奄尖,3
奉子成婚,3
套餐,5
好境,2
威迫利誘,1
婆媳,3
媽媽生,1
學前,2
學童,1
守財奴,2
家吓,6
家父,1
寒天,1
寫生,4
將官,1
專車,3
對焦,3
小菜,1
尿滲,2
屋租,2
屎窟,1
山埃貼士,6
山腰,1
島國,6
嶺南大學,1
工子,2
巴基斯坦,3
帝王,2
幕門,3
平方,5
平方公里,4
平面圖,1
延期,1
弧度,3
後台,3
後底,2
後底乸,2
得寸進尺,2
微乎其微,1
德語,3
心想事成,3
急步,7
怪之得,34
怪唔之,8
怪唔之得,7
怪唔得,9
怪唔得之,6
愛嚟,8
慘情,5
慢慢食,2
應接不暇,2
懦弱,9
懵炳,1
懸樑刺股,1
成村人,3
戒條,1
手印,1
手硬,1
手長,1
才學,1
扱,2
扶危,2
批鬥座,1
抑揚頓挫,5
抵消,1
抵禦,1
抽佣,1
拆樓,3
捐款,5
掉低,13
探班,1
提神,3
揞,2
揸fit,2
搏盡,4
搞作,1
搦,2
搭𨋢,10
撥開,6
操練,5
擰轉頭,7
擰頭,21
擳,2
擺檔,3
收養,7
救急,2
救急扶危,2
整走,6
文縐縐,2
新北,2
新正頭,1
日曆,6
晒士,2
晚年,4
有型,3
有瓦遮頭,4
有身己,2
有運行,3
朗屏,1
期考,1
本地狀元,1
東周,1
東歐,2
枱枱櫈櫈,2
架生,7
格仔餅,2
格價,1
檢定,2
檸樂,5
歌星,5
正方,2
正方形,2
歷年,2
死魚,6
殘疾,4
氣勢如虹,1
水吧,4
水塘,3
水氹,2
沓,7
沓正,2
沿線,2
波子,1
波子汽水,1
波斯,2
泰山北斗,1
流線型,2
海灣,2
海皮,3
減磅,3
滅聲,1
漂書,3
漏氣,2
漢堡,2
漬,1
潮汕,2
濁音,2
濃密,3
濕𣲷𣲷,2
火燭,7
炒冷飯,1
無牽無掛,1
焫,2
煙韌,2
煲劇,2
熊人,9
熱飲,5
燒賣,11
爆咪,2
牧羊,4
獵槍,4
王老五,3
現兜兜,1
生兒育女,2
生詞,4
留班,17
畫作,5
當造,1
疏導,3
症候群,3
療法,1
癐,3
癥結,1
發明家,1
發熱線,1
發送,2
發鈔銀行,1
白痴仔,21
百越,5
盧旺達,1
相由心生,2
相讓,2
看住,2
眾志成城,1
着想,4
睇白,1
睡袋,2
矩陣,2
研討,2
硬掘掘,2
碇,2
社區詞,1
神心,2
福建,11
禦,4
私怨,4
租樓,5
移居,2
窗台,4
等份,5
算係噉,2
範本,1
篱,2
簽約,7
籌旗,1
粉底,2
粵菜,2
紅van,1
索馬里,1
細工,1
終端,2
結界,1
綑邊,2
練字,3
練筆,2
縐,4
總站,6
繁盛,1
罌,1
罌粟,1
羅馬尼亞,1
老屎窟,1
耍手擰頭,3
耷低頭,8
聲納,1
肚臍,2
肶,1
背對,4
腍,9
腸仔,19
自由意志,12
舊陣時,4
艮,1
芭蕉,2
芯,3
茄喱啡,2
菲傭,9
落日,1
蓄勢待發,3
薩拉熱窩,2
蘇丹,1
處變不驚,2
號召力,1
蚊滋,1
蛋殼,1
蜜汁,1
螞螂艇,2
蠓,1
蠔豉,2
行有餘力,2
裇衫,3
西鐵線,1
解禁,2
話低,2
調景嶺,4
請勿,4
講實,8
講書,1
識別,1
讀取,3
豬公,1
豬雜,1
負笈,1
財團,6
貢丸,1
買餸,4
貼士,12
賓賓,5
賞心悅目,4
跌價,1
躝,4
身己,3
車行,8
輕鐵,2
輸卵管,1
辟穀,1
辭不達意,1
近因,2
返啅,1
返老還童,1
通經,2
連詞,1
運勢,2
過唔去,2
違規,4
遠因,3
遠征,3
適中,2
遵照,2
選拔,2
配有,5
醒水,1
錦衣夜行,2
長子,2
開嚟,3
開端,3
間格,2
阿拉伯語,1
陀仔,2
陞,1
陳設,1
隔音,2
隨之而嚟,3
雙糧,2
雙非,4
雜質,7
雞扒,7
雞春,1
雞春珠,1
雞精,1
雞精書,1
雞絲,10
雞蛋仔,5
雪條,4
雪梨,2
電器,5
電鋸,1
靠害,3
面議,1
鞭打,2
音位,1
音標,1
領港,1
頭耷耷,5
風調雨順,2
食屎大,3
食油,2
餡,4
餵奶,3
首爾,2
香口膠,5
鬧熱,3
鬼殺咁嘈,3
魚柳包,1
鴇母,5
鹹蛋,4
麻省,2
黑工,2
鼎立,1
齊頭,3
龍頭大佬,1
龜婆,1
𡲢,1
𢲡,4
𢳂,2
𣲷,4
𥄫,1
𨈇,1
內務,1
加盟,1
唔係嘅話,4
夾份,2
好pay,1
私事,6
莊員,3
處事,7
踢晒腳,2
迎新,2
過日子,2
順其自然,2
順景,1
食宵,5
來日方長,1
出碟,2
唔夠氣,2
投契,3
望穿秋水,1
樂事,3
滑音,2
空靈,2
美聲,2
耍家,2
跳脫,2
音域,1
風評,1
養聲,1
議院,11
黨鞭,2
跟著,10
中性,3
唔洗講,1
智謀,1
相符,1
窺探,4
蠢才,1
貶義詞,1
𠻹,2
債台高築,1
厚禮,1
受益人,1
嚟真,11
床褥,2
彌撒,1
狂喜,1
褥,2
身無分文,2
軟熟,1
骨子,4
動感,1
星空,2
特寫,3
透澈,1
劇痛,3
啲fd,1
嚟M,1
壁報,3
扮嘢,6
肥妹,5
講說話,2
陣痛,2
左鄰右里,2
心甘命抵,1
拋頭露面,1
書生,3
歸順,1
深圳河,3
牢騷,2
白色恐怖,1
種族清洗,1
苦衷,6
衰衰地,2
認祖歸宗,1
貼堂,1
追債,1
開席,1
4424,1
利多於弊,1
名門,2
斷六親,3
棄嬰,1
權位,1
生娘,1
貴客,3
跳掣,2
過繼,3
養娘,1
養母,1
養父,1
不問自取,1
主食,1
冷待,3
同屋主,38
吹脹,5
善後,3
好人好者,1
官非,1
家暴,2
屋主,39
屋簷,2
影衰,3
性小眾,3
拖地,1
擅自,2
洗衣機,6
焗爐,2
班會,2
異味,2
經期,19
線路,1
舊事重提,1
電磁,4
電磁爐,1
騰雞,1
BB仔,5
絕倫,3
務農,2
城鄉,2
攞嚟講,3
洛杉磯,1
畜牧,1
舉世,2
跌眼鏡,1
爵士樂,2
一夜情,2
交託,1
囂張跋扈,1
審判,6
師長,4
引路,1
搏上位,2
明燈,6
濫交,2
紅底,1
遵從,2
酸臭,1
動人心弦,2
大搖大擺,3
痴心妄想,2
紅館,2
臉龐,5
蓬鬆,4
飛翔,1
㩒掣,1
病榻,1
陸軍,5
陸軍裝,2
古墓,1
太婆,2
老太婆,2
自刎,1
賣國賊,1
啋,1
綠茶婊,1
藐,3
起雞皮,2
一字咁淺,1
博取,4
噏風,1
巴士迷,1
攝取,1
糠,1
閒日,8
黐金糠,1
劇院,4
園丁,1
墮入愛河,2
宦官,1
布偶,1
愛河,2
污點,2
無獨有偶,2
紅顏禍水,1
苦海,3
英聯邦,1
話事偈,1
貞操,2
貞潔,2
遷怒,2
避風塘,2
飽嘗,1
魚水之歡,1
好猛,3
礦物質,2
仇視,2
別有用心,1
滿天神佛,2
相等,5
胳肋底,2
餵飽,1
一樓一,2
怕事,5
單張,3
嚟嚟去去,2
懵撚,1
書枱,2
餐枱,2
事例,2
執念,4
領便當,1
某某人,1
吵架,1
運吉,1
傷風咳,1
湯水,2
秘技,2
藥丸,3
補習天王,2
補習社,10
438,4
DD,13
出嘢,3
口胃,1
急需,3
揸波,3
無情白事,2
牧童笛,3
發ti騰,1
間距,1
閪水,1
國立,2
太平盛世,1
心多,3
捷足先登,1
開墾,1
口岸,2
堪輿,1
形體,2
查數,1
直隸,1
郡,5
雅稱,1
風水先生,1
篤篤,1
雞雞,8
靜雞雞,8
好衰唔衰,1
安樂茶飯,2
富貴榮華,2
春卷,1
粉皮,1
衣錦還鄉,1
飛逝,2
依從,4
倒楣,1
倒霉,3
匈牙利,1
堂堂正正,5
彳,2
彳亍,2
慣用語,3
憂心忡忡,3
採集,2
撮要,2
曲調,1
有根有據,4
波蘭,1
焯,2
爭鳴,5
百家爭鳴,2
總言之,2
舊底,1
訛誤,2
語錄,2
謬誤,3
辨識,2
附錄,6
音讀,2
不擇手段,1
命懸一線,1
居所,2
弒君,2
晒馬,2
要脅,6
違法,8
前瞻,2
勝訴,1
圖章,1
定奪,1
政界,6
案情,8
橡皮,1
橡皮圖章,1
說詞,1
議案,6
面善,6
區別詞,3
博大精深,7
吻合,2
唔使計,2
大便,5
替換,1
樖,2
正太,1
狀語,1
辭書,1
食西北風,1
侵佔,3
冰涼,2
指尖,1
挨住,5
白皙,1
紋理,2
茉莉,1
香精,1
嘈到拆天,4
埋站,5
打車輪,2
時節,2
樂手,1
水壩,1
臀,4
前震,2
夜更,3
童言無忌,2
遠不及,2
避難所,3
420,2
亟,1
人同此心,1
作曲家,3
冒昧,1
叁,2
如出一轍,2
扮上菜,1
流明,2
流馬尿,1
深造,3
玖,1
番茄,1
磨練,3
線條,5
要訣,1
貳,5
開方,1
開闢,3
零丁,2
零零丁丁,2
面談,1
面頭,1
餞,1
餞別,1
商店,6
商舖,2
日更,2
盡善盡美,2
菜式,3
喇沙,1
無所遁形,2
禽獸,5
衣冠禽獸,3
鹽蛇,1
開盤,4
分憂,1
博客,2
媒人,1
怠工,1
擤,1
有權有勢,3
椰菜,1
椰菜花,1
肝炎,1
菜花,1
褻瀆,2
賓州,1
冇人冇物,1
單挑,2
大埔墟,4
改選,1
易拉架,3
牛工,2
砵仔糕,1
雖敗猶榮,1
偏重,4
出樣,1
女性主義,9
工傷,2
工科,1
平權,2
後勤,5
打女,2
扮靚,2
殘弱,1
社會科學,1
聲討,10
要不是,2
認衰仔,1
輩份,1
雌性,3
唔夠喉,1
聲優,1
脊骨,2
茄輪,4
跳傘,1
養兒防老,1
失主,1
將種,1
對外開放,1
攻破,2
消弭,2
甄別,1
縱有,1
要素,2
邊沿,1
邦聯,2
持有人,1
安樂死,1
惡報,1
惡有惡報,1
禁錮,3
罪有應得,1
伯爺,2
嚇窒,4
好瞓,3
屎橋,6
強弱,2
打敗仗,1
拖累,1
背脊骨,1
背脊骨落,1
買通,8
仿照,2
依次,2
大逆不道,2
尾二,2
求之不得,5
江蘇,1
補語,2
褪後,2
仿佛,5
原野,1
吟吟沉沉,1
吟沉,1
四時,1
四面八方,3
塵拂,1
容光煥發,2
寺門,1
射擊,2
新陳代謝,1
昆明,2
杜鵑,1
橋牌,1
滂沱,1
潮水,3
澎,6
澎湃,4
照射,2
猩紅,2
畫花,2
白𠽌𠽌,1
真實感,2
簪,1
紅海,2
綠蔭,1
老婆婆,2
落花,2
鞦韆,1
髻,1
鵑,1
𠽌,2
set頭,11
乾手機,2
冥頑不靈,2
啱使,1
堅定不移,2
手指尾,2
掌心,3
攞苦嚟辛,2
昇盤,1
精打細算,1
與會,1
閩南話,6
翻嚟,2
諸侯,8
謀略,1
讒,1
落馬洲,1
同門,3
喫,3
店主,2
惡言相向,1
抽走,1
故手,1
救亡,1
洛陽,1
講稿,1
酒家,3
開封,1
土著,1
奉公守法,1
產科,1
白食,2
美洲,2
馬騮屎忽,1
大口氣,2
幾號,1
擺上檯,1
種票,2
㷫過焫雞,1
催化劑,3
功不可沒,3
口頭禪,4
四邑,2
摧殘,6
殘廢餐,1
溫度計,3
焫雞,1
生生不息,1
翡翠,2
翡翠台,2
股民,1
警司,3
反例,3
八音,1
古琴,3
吹簫,4
琵琶,2
簫,29
結實,5
製法,1
音色,15
音量,1
響音,2
暴民,10
滿佈,4
無庸置疑,1
產量,1
磚頭,5
規章,1
隱含,3
領有,1
伯伯,19
剪輯,1
叔伯,1
喊打喊殺,1
大覺瞓,1
察舉,1
扑頭,1
牧師,2
胡椒噴霧,12
自衛,2
警棍,8
人性化,2
外邊,7
大正,1
如火如荼,1
庭園,2
情面,3
捱夜,1
擗,1
斷絕,3
落伍,1
亡羊補牢,3
伙食,2
兄長,18
嗰頭近,3
壁球,1
失約,1
奉旨,4
孝心,2
打回原形,3
洗濕個頭,1
犯眾憎,3
羈絆,4
吖笨,1
售罄,2
啟市,1
壽麵,1
失禮,14
客仔,3
小結,3
懶鬼,1
打交道,4
拒收,1
查問,2
橄欖,3
熟客仔,3
燒腩,1
燒腩仔,1
獨立包裝,1
瑤柱,12
脆皮,1
親臨,1
賀年,1
賀禮,1
辦年貨,1
門市,3
防腐劑,5
鹼水,1
俗語有云,2
做醜人,1
地拖,2
拋窒,1
捉姦,4
放電,2
有分數,1
眼明手快,1
聚腳,2
葵興,3
返頭嫁,1
醜人,1
鏢,10
靜音,6
全力以赴,1
